state_fips,year,on_road,off_road,excise
01   ,2005,2.35,1.92,0.43
49   ,2005,2.44,1.96,0.49
32   ,2022,3.58,3.07,0.51
55   ,2011,3.48,2.94,0.54
30   ,2004,1.86,1.34,0.52
36   ,2014,3.68,3.21,0.47
10   ,2012,3.68,3.22,0.46
25   ,2027,3.74,3.28,0.45
26   ,2014,3.48,3.09,0.39
49   ,2027,3.46,2.97,0.49
27   ,2030,3.48,3.04,0.44
08   ,2029,3.46,3.01,0.45
21   ,2011,3.48,3.06,0.42
19   ,2029,3.48,3.01,0.47
30   ,2030,3.46,2.94,0.52
55   ,2003,1.49,0.96,0.52
10   ,2017,3.68,3.22,0.46
37   ,2024,3.51,2.96,0.54
50   ,2006,2.82,2.32,0.49
26   ,2028,3.48,3.09,0.39
31   ,2013,3.48,2.97,0.51
05   ,2015,3.47,3,0.47
28   ,2024,3.47,3.05,0.42
17   ,2008,3.48,3.02,0.46
36   ,2028,3.68,3.21,0.47
34   ,2013,3.68,3.31,0.38
47   ,2023,3.48,3.07,0.41
35   ,2002,1.28,0.84,0.44
05   ,2017,3.47,3,0.47
05   ,2001,1.35,0.87,0.47
28   ,2026,3.47,3.05,0.42
41   ,2029,3.58,3.1,0.48
40   ,2010,3.48,3.11,0.37
10   ,2015,3.68,3.22,0.46
35   ,2018,3.47,3,0.47
37   ,2026,3.51,2.96,0.54
16   ,2006,2.76,2.26,0.49
41   ,2006,2.87,2.39,0.48
32   ,2025,3.58,3.07,0.51
18   ,2025,3.48,3.08,0.4
53   ,2029,3.58,3,0.58
48   ,2026,3.47,3.03,0.44
42   ,2016,3.68,3.06,0.63
23   ,2029,3.74,3.22,0.52
20   ,2003,1.49,0.98,0.5
22   ,2016,3.47,3.03,0.44
38   ,2007,2.86,2.39,0.47
38   ,2022,3.48,3.01,0.47
47   ,2015,3.48,3.07,0.41
54   ,2029,3.51,2.95,0.56
51   ,2018,3.51,3.09,0.42
05   ,2023,3.47,3,0.47
49   ,2029,3.46,2.97,0.49
08   ,2027,3.46,3.01,0.45
54   ,2003,1.47,0.98,0.49
42   ,2014,3.68,3.06,0.63
47   ,2017,3.48,3.07,0.41
25   ,2029,3.74,3.28,0.45
32   ,2004,2.02,1.51,0.51
19   ,2027,3.48,3.01,0.47
48   ,2024,3.47,3.03,0.44
40   ,2019,3.48,3.11,0.37
12   ,2030,3.51,3.11,0.4
22   ,2014,3.47,3.03,0.44
46   ,2020,3.48,3.02,0.46
10   ,2023,3.68,3.22,0.46
40   ,2021,3.48,3.11,0.37
08   ,2006,2.76,2.31,0.45
22   ,2028,3.47,3.03,0.44
47   ,2012,3.48,3.07,0.41
42   ,2028,3.68,3.06,0.63
04   ,2018,3.58,3.16,0.42
21   ,2002,1.3,0.92,0.38
17   ,2020,3.48,3.02,0.46
41   ,2027,3.58,3.1,0.48
18   ,2022,3.48,3.08,0.4
20   ,2011,3.48,2.98,0.5
20   ,2007,2.86,2.36,0.5
38   ,2025,3.48,3.01,0.47
39   ,2002,1.3,0.84,0.46
29   ,2029,3.48,3.07,0.41
09   ,2010,3.74,3.12,0.61
12   ,2015,3.51,3.11,0.4
04   ,2019,3.58,3.16,0.42
45   ,2027,3.51,3.1,0.4
24   ,2007,2.97,2.48,0.49
35   ,2009,3.47,3,0.47
49   ,2003,1.53,1.05,0.48
38   ,2002,1.3,0.85,0.45
17   ,2006,2.67,2.21,0.46
47   ,2030,3.48,3.07,0.41
55   ,2025,3.48,2.94,0.54
33   ,2029,3.74,3.31,0.42
37   ,2020,3.51,2.96,0.54
12   ,2017,3.51,3.11,0.4
28   ,2020,3.47,3.05,0.42
24   ,2013,3.68,3.2,0.49
21   ,2025,3.48,3.06,0.42
51   ,2021,3.51,3.09,0.42
22   ,2003,1.45,1.01,0.44
55   ,2022,3.48,2.94,0.54
30   ,2023,3.46,2.94,0.52
51   ,2019,3.51,3.09,0.42
12   ,2012,3.51,3.11,0.4
51   ,2001,1.35,0.94,0.4
24   ,2003,1.63,1.15,0.48
31   ,2006,2.67,2.16,0.51
39   ,2029,3.48,2.96,0.52
22   ,2000,1.44,1,0.44
21   ,2022,3.48,3.06,0.42
27   ,2023,3.48,3.04,0.44
40   ,2018,3.48,3.11,0.37
48   ,2008,3.47,3.03,0.44
35   ,2010,3.47,3,0.47
09   ,2009,3.74,3.12,0.61
54   ,2001,1.35,0.85,0.5
32   ,2011,3.58,3.07,0.51
04   ,2021,3.58,3.16,0.42
04   ,2007,3.04,2.62,0.42
42   ,2001,1.48,0.92,0.55
48   ,2010,3.47,3.03,0.44
35   ,2008,3.47,3,0.47
50   ,2014,3.74,3.24,0.49
06   ,2006,2.93,2.51,0.42
53   ,2002,1.4,0.93,0.47
55   ,2013,3.48,2.94,0.54
19   ,2017,3.48,3.01,0.47
01   ,2028,3.47,3.02,0.45
53   ,2005,2.57,2.01,0.55
02   ,2028,3.58,3.26,0.32
06   ,2016,3.63,3.21,0.42
08   ,2017,3.46,3.01,0.45
21   ,2013,3.48,3.06,0.42
24   ,2025,3.68,3.2,0.49
04   ,2020,3.58,3.16,0.42
47   ,2027,3.48,3.07,0.41
09   ,2006,2.82,2.31,0.5
08   ,2015,3.46,3.01,0.45
28   ,2019,3.47,3.05,0.42
17   ,2018,3.48,3.02,0.46
16   ,2028,3.46,2.96,0.49
50   ,2016,3.74,3.24,0.49
19   ,2015,3.48,3.01,0.47
41   ,2012,3.58,3.1,0.48
45   ,2030,3.51,3.1,0.4
02   ,2007,3.04,2.72,0.32
06   ,2014,3.63,3.21,0.42
37   ,2019,3.51,2.96,0.54
18   ,2000,1.47,1.07,0.4
19   ,2001,1.41,0.94,0.47
53   ,2023,3.58,3,0.58
23   ,2023,3.74,3.22,0.52
02   ,2016,3.58,3.26,0.32
37   ,2021,3.51,2.96,0.54
06   ,2028,3.63,3.21,0.42
28   ,2021,3.47,3.05,0.42
16   ,2014,3.46,2.96,0.49
41   ,2017,3.58,3.1,0.48
51   ,2020,3.51,3.09,0.42
54   ,2023,3.51,2.95,0.56
01   ,2016,3.47,3.02,0.45
05   ,2029,3.47,3,0.47
54   ,2002,1.28,0.78,0.5
09   ,2008,3.74,3.12,0.61
02   ,2014,3.58,3.26,0.32
49   ,2023,3.46,2.97,0.49
04   ,2004,2.02,1.52,0.5
19   ,2012,3.48,3.01,0.47
41   ,2015,3.58,3.1,0.48
48   ,2009,3.47,3.03,0.44
42   ,2000,1.61,1.05,0.55
20   ,2002,1.3,0.81,0.49
47   ,2005,2.36,1.94,0.41
25   ,2023,3.74,3.28,0.45
01   ,2000,1.44,1.01,0.43
01   ,2014,3.47,3.02,0.45
34   ,2011,3.68,3.31,0.38
08   ,2012,3.46,3.01,0.45
24   ,2022,3.68,3.2,0.49
50   ,2028,3.74,3.24,0.49
31   ,2011,3.48,2.97,0.51
35   ,2004,1.74,1.27,0.47
46   ,2018,3.48,3.02,0.46
16   ,2016,3.46,2.96,0.49
10   ,2029,3.68,3.22,0.46
17   ,2021,3.48,3.02,0.46
56   ,2016,3.46,3.07,0.38
12   ,2027,3.51,3.11,0.4
