fips,irrigated_yield,nonirrigated_yield,irrigation (cm/acre),irrigation (feet/acre)
53023,18.86,10.21,207.45,6.80610258
53065,16.16,9.59,154.11,5.056102524
41017,13.78,4.37,253.4,8.31364856
41033,24.63,12.6,228.64,7.501312576
53037,17.88,4.99,227.24,7.455380816
41045,15.33,3.07,277.17,9.093504228
53063,16.45,8.59,189.59,6.220144556
41031,16.32,4.49,255.88,8.395013392
53045,24.5,19.32,78.57,2.577755988
53015,22.29,20.09,79.21,2.598753364
16003,15.14,6.59,173.91,5.705708844
6041,41.25,17.47,318.15,10.43799246
53009,23.91,18.35,67.48,2.213910832
53033,20.29,17.38,65.21,2.139435764
49003,14.48,4.41,217.33,7.130249572
53075,17.33,9.05,218.45,7.16699498
6097,35.92,16.98,313.15,10.27395046
53073,18.06,16.32,58.63,1.923556492
30023,7.16,4,84.93,2.786417412
6101,28.73,12.07,350.18,11.48884551
41049,19.25,6.12,266.08,8.729659072
6011,27.65,10.87,346.4,11.36482976
41059,18.24,9.2,215.99,7.086286316
53029,27.77,12.98,142.76,4.683727184
6047,27.72,9.44,370.65,12.16043346
6021,25.68,10.26,318.29,10.44258564
16055,16.9,10.59,133.68,4.385826912
41071,26.9,19.05,161.69,5.304790196
30077,11.42,6.84,94.49,3.100065716
6043,26.92,10.51,311.77,10.22867487
41023,13.71,5.08,212.04,6.956693136
16037,9.68,3.32,154.77,5.077756068
16059,10.65,4.22,146.73,4.813976532
16067,16.36,2.8,302.39,9.920932076
6007,24.81,13.23,267.7,8.78280868
41021,20.46,5.1,294.51,9.662401884
16053,16.81,3.21,307.31,10.0823494
30089,13.99,7.88,118.23,3.878937132
16031,16.27,4.8,230.05,7.54757242
53053,19.15,15.37,82.45,2.70505258
53069,25.25,24.15,62.74,2.058399016
6109,22.95,9.07,279.49,9.169619716
32005,16.31,2.07,341.04,11.18897674
41053,26,18.39,157.1,5.15419964
16009,15.32,10.41,134.15,4.40124686
30061,13.22,7.87,106.61,3.497703524
6067,30.54,11.98,360.86,11.83923922
32021,15.67,1.37,373.02,12.23818937
6095,32.18,12.27,366.59,12.02723136
6077,30.22,10.91,384.86,12.62664082
6081,44.04,15.5,341.59,11.20702136
32031,18.26,2.82,328.97,10.79297935
32019,14.23,1.24,326.99,10.72801872
53031,22.69,17.71,48.96,1.606299264
53061,18.99,17.62,51.12,1.677165408
41035,14.21,5.68,251.39,8.247703676
41037,14.4,3.27,275.4,9.03543336
41043,23.32,16.82,136.81,4.488517204
16025,14.2,3.96,235.08,7.712598672
6035,16.26,3.3,301.98,9.907480632
53017,18.5,3.9,285.05,9.35203442
6015,30.32,18.79,192.93,6.329724612
30053,12.51,7.44,109.68,3.598425312
6039,14.79,2.72,266.71,8.750328364
53001,17.69,4.56,284.3,9.32742812
16069,17.27,10.14,170.38,5.589895192
41013,13.48,3.07,248.97,8.168307348
53025,18.55,3.31,312.77,10.26148327
16073,15.07,3.43,266.4,8.74015776
53057,19.76,17.77,61.15,2.00623366
41027,21.06,14.06,153.47,5.035105148
53003,17.96,7.37,194.33,6.375656372
53077,18.11,4.5,263.47,8.644029148
41003,26.36,18.53,163.59,5.367126156
6075,49.59,16.04,352.68,11.57086651
41001,14.59,4.93,217.09,7.122375556
